quarter,department,headcount,turnover_rate,satisfaction_score,training_hours,avg_tenure_years
2022-Q1,Engineering,111,0.148,4.34,37.3,1.6
2022-Q2,Engineering,112,0.19,4.67,36.7,2.3
2022-Q3,Engineering,113,0.214,3.8,10.2,2.1
2022-Q4,Engineering,110,0.214,4.59,26.0,2.2
2023-Q1,Engineering,112,0.063,4.49,21.9,2.8
2023-Q2,Engineering,119,0.13,4.39,16.1,2.3
2023-Q3,Engineering,114,0.217,4.47,28.6,6.7
2023-Q4,Engineering,114,0.063,4.56,31.5,3.3
2024-Q1,Engineering,114,0.161,4.3,31.3,4.4
2024-Q2,Engineering,110,0.208,4.34,37.3,5.6
2024-Q3,Engineering,116,0.066,4.01,17.5,1.5
2024-Q4,Engineering,118,0.227,4.74,37.3,4.2
2022-Q1,Sales,117,0.155,3.67,8.6,4.2
2022-Q2,Sales,113,0.169,4.54,37.8,6.2
2022-Q3,Sales,117,0.12,3.99,26.0,1.5
2022-Q4,Sales,121,0.245,3.73,12.5,5.5
2023-Q1,Sales,121,0.094,4.71,35.1,6.5
2023-Q2,Sales,116,0.073,4.13,27.7,2.5
2023-Q3,Sales,120,0.085,4.65,34.4,5.9
2023-Q4,Sales,117,0.092,3.91,5.6,3.1
2024-Q1,Sales,120,0.059,4.47,26.2,6.3
2024-Q2,Sales,113,0.147,4.27,37.3,2.3
2024-Q3,Sales,122,0.166,4.57,36.2,4.2
2024-Q4,Sales,116,0.206,4.57,30.9,3.6
2022-Q1,Marketing,30,0.065,3.55,18.9,5.3
2022-Q2,Marketing,30,0.236,3.44,6.0,4.5
2022-Q3,Marketing,30,0.176,3.5,17.9,7.8
2022-Q4,Marketing,36,0.062,3.36,11.3,2.4
2023-Q1,Marketing,29,0.202,4.02,34.7,2.9
2023-Q2,Marketing,37,0.241,3.44,14.6,7.4
2023-Q3,Marketing,30,0.067,3.88,24.8,7.1
2023-Q4,Marketing,36,0.145,4.09,21.6,4.5
2024-Q1,Marketing,30,0.1,3.4,4.5,4.3
2024-Q2,Marketing,29,0.233,3.85,12.0,7.3
2024-Q3,Marketing,34,0.197,3.46,19.0,4.8
2024-Q4,Marketing,28,0.14,3.68,19.3,3.1
2022-Q1,Operations,89,0.077,4.65,29.0,3.4
2022-Q2,Operations,93,0.184,4.43,27.3,2.6
2022-Q3,Operations,95,0.055,4.58,20.5,4.5
2022-Q4,Operations,92,0.087,4.99,31.8,7.2
2023-Q1,Operations,86,0.222,4.78,26.6,2.0
2023-Q2,Operations,86,0.109,4.75,36.2,6.4
2023-Q3,Operations,95,0.209,4.78,29.1,6.6
2023-Q4,Operations,86,0.153,4.5,6.9,7.4
2024-Q1,Operations,92,0.123,4.2,17.1,5.5
2024-Q2,Operations,94,0.191,4.28,17.2,5.1
2024-Q3,Operations,91,0.098,4.55,31.8,2.2
2024-Q4,Operations,95,0.224,4.82,21.2,6.1
2022-Q1,Finance,115,0.151,4.27,12.1,4.2
2022-Q2,Finance,118,0.147,4.16,6.0,4.9
2022-Q3,Finance,121,0.215,4.41,8.4,7.3
2022-Q4,Finance,121,0.239,4.44,20.3,6.8
2023-Q1,Finance,118,0.067,4.61,37.9,4.0
2023-Q2,Finance,112,0.072,4.6,10.4,3.3
2023-Q3,Finance,114,0.154,4.7,29.1,5.6
2023-Q4,Finance,119,0.236,4.69,14.6,4.6
2024-Q1,Finance,111,0.108,4.64,19.1,1.9
2024-Q2,Finance,119,0.179,4.66,35.4,4.2
2024-Q3,Finance,116,0.147,4.53,16.3,5.8
2024-Q4,Finance,118,0.111,4.61,23.1,2.4
2022-Q1,HR,58,0.204,3.52,13.4,1.8
2022-Q2,HR,56,0.174,3.57,16.7,2.5
2022-Q3,HR,56,0.218,3.53,23.3,6.0
2022-Q4,HR,57,0.073,3.61,28.0,8.0
2023-Q1,HR,59,0.087,3.72,24.7,5.2
2023-Q2,HR,59,0.08,3.25,5.2,4.4
2023-Q3,HR,55,0.234,4.06,39.1,4.1
2023-Q4,HR,61,0.236,3.48,22.0,2.5
2024-Q1,HR,62,0.116,4.06,38.9,6.1
2024-Q2,HR,63,0.183,3.55,21.1,6.7
2024-Q3,HR,59,0.188,4.12,30.2,6.3
2024-Q4,HR,62,0.073,3.77,36.4,1.7
2022-Q1,Legal,94,0.172,4.42,20.1,2.8
2022-Q2,Legal,98,0.089,4.89,23.0,2.0
2022-Q3,Legal,95,0.245,5.0,34.6,4.1
2022-Q4,Legal,102,0.239,4.76,21.7,7.4
2023-Q1,Legal,100,0.124,4.39,17.0,3.9
2023-Q2,Legal,101,0.225,4.46,14.2,2.1
2023-Q3,Legal,100,0.211,4.83,30.2,3.4
2023-Q4,Legal,100,0.196,5.0,33.0,4.2
2024-Q1,Legal,96,0.092,5.0,34.1,4.6
2024-Q2,Legal,95,0.237,5.0,35.2,5.3
2024-Q3,Legal,104,0.233,4.32,17.5,4.2
2024-Q4,Legal,96,0.09,4.87,24.0,6.9
2022-Q1,Support,61,0.111,4.14,5.5,5.1
2022-Q2,Support,52,0.081,3.96,20.7,3.5
2022-Q3,Support,53,0.181,4.45,27.1,7.3
2022-Q4,Support,62,0.099,4.21,19.0,2.3
2023-Q1,Support,53,0.17,4.41,14.0,3.9
2023-Q2,Support,56,0.176,4.22,21.3,4.6
2023-Q3,Support,60,0.197,4.18,29.0,1.6
2023-Q4,Support,54,0.114,4.15,13.3,7.2
2024-Q1,Support,56,0.122,3.81,8.9,5.6
2024-Q2,Support,56,0.156,4.33,38.4,7.6
2024-Q3,Support,54,0.203,4.44,22.5,5.4
2024-Q4,Support,57,0.215,3.92,10.0,6.0
